doi,title,firstauthor,authors,publisher,journal,published_year,published_date,abstract,url,affiliationtw,correspondingtw,or1,or2,or3,or5,nor1,nor2,nor3,legend,mic1,mic2,mic3,odb
10.1002/2016jc012519,Downstream evolution of the Kuroshio's time-varying transport and velocity structure,M. Andres,"M. Andres, V. Mensah, S. Jan, M.‐H. Chang, Y.‐J. Yang, C. M. Lee, B. Ma, T. B. Sanford",American Geophysical Union (AGU),JGR Oceans,2017,2017-5,"Observations from two companion field programs—Origins of the Kuroshio and Mindanao Current (OKMC) and Observations of Kuroshio Transport Variability (OKTV)—are used here to examine the Kuroshio's temporal and spatial evolution. Kuroshio strength and velocity structure were measured between June 2012 and November 2014 with pressure‐sensor equipped inverted echo sounders (PIESs) and upward‐looking acoustic Doppler current profilers (ADCPs) deployed across the current northeast of Luzon, Philippines, and east of Taiwan with an 8 month overlap in the two arrays' deployment periods. The time‐mean net (i.e., integrated from the surface to the bottom) absolute transport increases downstream from 7.3 Sv (±4.4 Sv standard error) northeast of Luzon to 13.7 Sv (±3.6 Sv) east of Taiwan. The observed downstream increase is consistent with the return flow predicted by the simple Sverdrup relation and the mean wind stress curl field over the North Pacific (despite the complicated bathymetry and gaps along the North Pacific western boundary). Northeast of Luzon, the Kuroshio—bounded by the 0 m s−1 isotach—is shallower than 750 dbar, while east of Taiwan areas of positive flow reach to the seafloor (3000 m). Both arrays indicate a deep counterflow beneath the poleward‐flowing Kuroshio (–10.3 ± 2.3 Sv by Luzon and −12.5 ± 1.2 Sv east of Taiwan). Time‐varying transports and velocities indicate the strong influence at both sections of westward propagating eddies from the ocean interior. Topography associated with the ridges east of Taiwan also influences the mean and time‐varying velocity structure there.",https://doi.org/10.1002/2016jc012519,,,True,False,False,False,False,False,False,False,False,False,False,False
10.1016/j.tecto.2022.229362,"Neotectonics of the volcanic Kuei-Shan Tao island, and geodynamic implications (NE Taiwan-SW Okinawa Trough)",Benoit Deffontaines,"Benoit Deffontaines, Kuo-Jen Chang, Pichun Huang, Ho-Han Hsu, Shu-Kun Hsu, Char-Shine Liu, Chyi-Tyi Lee, Samuel Magalhaes, Gérardo Fortunato",Elsevier BV,Tectonophysics,2022,2022-6,,https://doi.org/10.1016/j.tecto.2022.229362,中央大學,許樹坤,True,False,False,False,False,False,False,False,False,False,False,True
10.1007/s00367-020-00673-5,"Continental shelf morphology controlled by bottom currents, mud diapirism, and submarine slumping to the east of the Gaoping Canyon, off SW Taiwan",Yi-Ching Yeh,"Yi-Ching Yeh, Chung-Lin Tsai, Shu-Kun Hsu, Hsiao-Shan Lin, Kuan-Ting Chen, Yen-Yu Cho, Chin-Wei Liang",Springer Science and Business Media LLC,Geo-Mar Lett,2021,2021-3,,https://doi.org/10.1007/s00367-020-00673-5,中央大學,許樹坤,True,False,True,False,False,False,False,True,False,False,False,False
10.1007/978-3-030-60196-6_29,Flank Failure of the Volcanic Turtle Island and the Submarine Landslide in the Southernmost Okinawa Trough,Pi-Chun Huang,"Pi-Chun Huang, Shu-Kun Hsu, Song-Chuen Chen, Ching-Hui Tsai",Springer International Publishing,,2021,2021,,https://doi.org/10.1007/978-3-030-60196-6_29,中央大學,許樹坤,True,True,False,False,False,False,False,False,False,False,False,False
10.1016/j.jaesx.2020.100036,Forearc structures and deformation along the Manila Trench,Leo T. Armada,"Leo T. Armada, Shu-Kun Hsu, Carla B. Dimalanta, Graciano P. Yumul Jr., Wen-Bin Doo, Yi-Ching Yeh",Elsevier BV,Journal of Asian Earth Sciences: X,2020,2020-12,,https://doi.org/10.1016/j.jaesx.2020.100036,中央大學,許樹坤,False,False,False,True,False,False,False,False,False,False,False,False
10.1126/sciadv.abo2829,Viral shunt in tropical oligotrophic ocean,Fuh-Kwo Shiah,"Fuh-Kwo Shiah, Chao-Chen Lai, Tzong-Yueh Chen, Chia-Ying Ko, Jen-Hua Tai, Chun-Wei Chang",American Association for the Advancement of Science (AAAS),Sci. Adv.,2022,2022-10-14,"Viruses cause massive bacterial mortality and thus modulate bacteria-governed carbon transfer and nutrient recycling at global scale. The viral shunt hypothesis states the crucial role of viral lysis in retaining microbial carbon into food web processes, while its applicability to nature has not been well identified for over two decades. Here, we conducted nine diel surveys in the tropical South China Sea and suggested that the time scale adopted in sampling and system trophic status determine the “visibility” of the viral shunt in the field. Specifically, viral abundance (VA), bacterial biomass (BB), and bacterial specific growth rate (SGR) varied synchronously and presented the significant VA-BB and VA-SGR linkages at an hourly scale, which reveals direct interactions between viruses and their hosts. The differential responses of the viral shunt to temperature, i.e., looser VA-SGR coupling in warm and tighter VA-SGR coupling in cold environments, imply an altered carbon cycling in tropical oceans under climatic warming.",https://doi.org/10.1126/sciadv.abo2829,中研院 環變中心,夏復國,True,False,False,False,True,False,False,False,False,False,False,False
10.1016/j.oceaneng.2022.113446,A numerical investigation of the transport process of density currents over steep slopes and its implications for subsea cable breaks,Sheng-De Tsai,"Sheng-De Tsai, Jia-Lin Chen, Wen-Yang Hsu, Wei-Zhan Tsai, Andhy Romdani",Elsevier BV,Ocean Engineering,2023,2023-2,,https://doi.org/10.1016/j.oceaneng.2022.113446,成功大學水利及海洋工程學系,陳佳琳,True,False,True,False,False,False,False,False,False,False,False,False
10.1007/s10872-019-00505-w,High diversity of haptophytes in the East China Sea revealed by next-generation sequencing and scanning electron microscopy,Chi-Yu Shih,"Chi-Yu Shih, Hsing-Ming Lu, Gwo-Ching Gong, Lee-Kuo Kang",Springer Science and Business Media LLC,J Oceanogr,2019,2019-8,,https://doi.org/10.1007/s10872-019-00505-w,海洋大學,康利國,True,False,False,False,False,False,False,False,False,False,False,False
10.1007/978-981-15-4886-4_16,Transient Carbonate Chemistry in the Expanded Kuroshio Region,Hon-Kit Lui,"Hon-Kit Lui, Chen-Tung Arthur Chen, Wei-Ping Hou, Shujie Yu, Jui-Wen Chan, Yan Bai, Xianqiang He",Springer Singapore,,2020,2020,,https://doi.org/10.1007/978-981-15-4886-4_16,國立中山大學,雷漢杰,True,False,True,False,False,False,False,True,False,False,False,True
10.3390/su10040971,Physical Forcing-Driven Productivity and Sediment Flux to the Deep Basin of Northern South China Sea: A Decadal Time Series Study,Hon-Kit Lui,"Hon-Kit Lui, Kuang-Yu Chen, Chen-Tung Chen, Bo-Shian Wang, Hui-Ling Lin, Shih-Hu Ho, Chiung-Jung Tseng, Yih Yang, Jui-Wen Chan",MDPI AG,Sustainability,2018,2018-3-27,"Understanding the driving forces of absorption of anthropogenic CO2 by the oceans is critical for a sustainable ocean carbon cycle. Decadal sinking particle flux data collected at 1000 m, 2000 m, and 3500 m at the South East Asia Time Series Study (SEATS) Station (18° N, 116° E), which was located in the northern South China Sea (nSCS), show that the fluxes undergo strong seasonal and interannual variability. Changes in the flux data are correlated with the satellite-derived chlorophyll-a concentration, indicating that the mass fluxes of the sinking particles are largely controlled by the export production at or near the SEATS station. The cooling of seawater and the strengthening of wind in winter increase the nutrient inventories in the euphotic zone, thus also increasing export production in the nSCS. This study reveals that the intrusion of low-nutrient seawater from the West Philippine Sea into the nSCS significantly reduces the productivity, and hence the flux, of sinking particles.",https://doi.org/10.3390/su10040971,國立中山大學,雷漢杰,True,False,True,True,False,False,False,False,False,False,False,False
10.1002/lom3.10170,Reconciliation of pH25 and pHinsitu acidification rates of the surface oceans: A simple conversion using only in situ temperature,Hon‐Kit Lui,"Hon‐Kit Lui, Chen‐Tung Arthur Chen",Wiley,Limnology &amp; Ocean Methods,2017,2017-3,"Seawater pH is frequently measured at 25°C (pH25), and can be converted thermodynamically to pH at the in situ temperature (T), (pHinsitu) using an additional carbonate chemistry parameter, which is the total alkalinity (TA), dissolved inorganic carbon (DIC), or the partial pressure of CO2 (pCO2) of seawater. Although rates of temporal change of pHinsitu (
) and pH25 (
) are both extensively used in studies of ocean acidification, the difference between 
 and 
 has not yet been quantified. This study deducts from 816 sets of data of the surface oceans over wide ranges of T (1–31°C) from six time series to reveal that the difference between calculated pHinsitu and pH25 is a1 (T
 25°C), where a1 is a nearly constant of −0.0151 pH unit °C−1. We illustrate that 
 equals (
 + a1
), where 
 is the rate of temporal change of T. We further show that uneven distributions of sampling points significantly widen the difference between 
 and 
, making the degree of ocean acidification unclear. Distributions of a1 values are modeled for the surfaces of the global oceans at various pCO2 levels, and they closely match the observations from the studied time series. Without the use of an additional carbonate chemistry parameter, the pHinsitu and pH25, as well as 
 and 
 can now be converted into each other using only T, facilitating the study of the changing carbonate chemistry of seawater under the influences of increasing atmospheric CO2 concentration.",https://doi.org/10.1002/lom3.10170,國立中山大學,雷漢杰,True,False,True,False,False,False,False,False,False,False,False,True
10.3390/w12061806,"Temporal Variations of Submarine Groundwater Discharge into a Tide-Dominated Coastal Wetland (Gaomei Wetland, Western Taiwan) Indicated by Radon and Radium Isotopes",Feng-Hsin Hsu,"Feng-Hsin Hsu, Chih-Chieh Su, Pei-Ling Wang, In-Tian Lin",MDPI AG,Water,2020,2020-6-24,"Submarine groundwater discharge (SGD) is evidenced around Taiwan, but the seasonal/temporal changes of SGD have not been fully examined. Here, we report a time-series investigation of SGD into a tide-dominated coastal wetland, the Gaomei Wetland, located to the south of the Da-Chia River’s mouth, western Taiwan, by using environmental tracers (222Rn, 224Raex, 228Ra, δD, and δ18O). Our results showed that regardless of dry and wet seasons, the 222Rn activities in coastal waters were high at low tide but low at high tide. It represents the continuous input of 222Rn-enriched groundwater. However, the 224Raex and 228Ra activities showed seasonal changes with tide conditions. In the dry season, the 224Raex and 228Ra activities in coastal waters were low at low tide but high at high tide; whereas in the wet season, an opposite relation was observed with quite high 224Raex and 228Ra activities in the low-tide waters. Coupled with the lower δD and δ18O values of coastal and pore waters in the dry season, in comparison to those in the wet season, it is suggested that these phenomena probably reflected a seasonal difference in the main SGD component with fresh SGD in the dry season, but saline ones in the wet season. Based on a 222Rn mass balance model, the estimated SGD fluxes into the Gaomei Wetland varied with tidal fluctuations and ranged from 0.2 to 25 cm d−1 and from 0.1 to 47 cm d−1 for the dry and wet seasons, respectively. A slightly high SGD flux occurring during the wet season at spring tide, implied a stronger tidal pumping coupled with a larger hydraulic gradient between land and sea. In this study, we demonstrated that the variation of SGD into the Gaomei Wetland is not only controlled by the seasonal changes of groundwater recharge, but also by the tidal pumping process.",https://doi.org/10.3390/w12061806,臺灣大學,蘇志杰,True,False,False,False,False,False,False,False,False,False,False,False
10.3389/feart.2021.795519,Sedimentary Anthropogenic Carbon Signals From the Western Pacific Margin for the Last Century,Jay Lee,"Jay Lee, Rick J. Yang, Hui-Ling Lin, Yi-Chi Chen, Ren-Yi Cai-Li, Haojia Ren, James T. Liu",Frontiers Media SA,Front. Earth Sci.,2022,2022-1-28,"The declining trend of the δ13C of tropical corals over the last century was about −0.01‰ year−1, according to global coral records. The decrease was attributable to the significant input of anthropogenic CO2 (13C Suess effect) to the atmosphere. Previous studies of δ13C in corals suggested that the signal of the anthropogenic carbon in the Pacific and Indian Oceans were weaker than that in the Atlantic Ocean. However, biases relating to environments in which corals grew caused concerns. To investigate the anthropogenic carbon signal in the Western Pacific, foraminiferal records in a suite of 13 box cores with good age control were obtained from the continental slope off southwestern Taiwan between 2004 and 2006. δ18O values of planktonic foraminifera (Globigerinoides sacculifer or so-called Trilobatus sacculifer) in collected cores were relatively stable at −2.5‰ to −2‰ in the last century, but foraminiferal δ13C had a gradual secular decline after the 1900s. The decline trend of δ13C began to intensify after the 1960s, and its rate was similar to that observed in the Atlantic. Similar decline trends of δ13C were also found in coral records at regions where the human activity is high (Liuqiu) and low (Dongsha). Our findings indicate that the anthropogenic carbon signal in the Western Pacific was not weaker than that recorded in the Atlantic, and the nearshore sediment can supplement the lack of δ13C records in corals, which are deficient when the environment is not suitable to grow.",https://doi.org/10.3389/feart.2021.795519,中山大學,林慧玲,True,False,False,False,False,False,False,False,False,False,False,False
10.1016/j.margeo.2022.106922,Planktic-benthic foraminifera ratio (%P) as a tool for the reconstruction of paleobathymetry and geohazard: A case study from Taiwan,Raúl Tapia,"Raúl Tapia, Sicheng Le, Sze Ling Ho, Maria-Angela Bassetti, In-Tian Lin, Hui-Ling Lin, Yuan-Pin Chang, Kuo-Tung Jiann, Pei-Ling Wang, Jheng-Kuan Lin, Nathalie Babonneau, Gueorgui Ratzov, Shu-Kun Hsu, Chih-Chieh Su",Elsevier BV,Marine Geology,2022,2022-11,,https://doi.org/10.1016/j.margeo.2022.106922,臺灣大學,蘇志杰,True,True,True,False,True,False,False,False,False,False,False,False
10.3389/fmars.2020.00003,Contrasting Changes in Diel Variations of Net Community Calcification Support That Carbonate Dissolution Can Be More Sensitive to Ocean Acidification Than Coral Calcification,Wen-Chen Chou,"Wen-Chen Chou, Pi-Jen Liu, Ying-Hsuan Chen, Wei-Jen Huang",Frontiers Media SA,Front. Mar. Sci.,2020,2020-1-23,,https://doi.org/10.3389/fmars.2020.00003,國立臺灣海洋大學,周文臣,False,False,False,False,False,False,False,False,False,True,False,False
10.1016/j.revpalbo.2018.07.007,Seasonal dinoflagellate cyst production and terrestrial palynomorph deposition in the East Asian Monsoon influenced South China Sea: A sediment trap study from the Southwest Taiwan waters,Zhen Li,"Zhen Li, Vera Pospelova, Hui-Ling Lin, Lejun Liu, Bing Song, Wenping Gong",Elsevier BV,Review of Palaeobotany and Palynology,2018,2018-10,,https://doi.org/10.1016/j.revpalbo.2018.07.007,Natural Resources Canada,"Li, Zhen",False,False,True,False,False,False,False,False,False,False,False,False
10.3389/feart.2022.928115,Response of planktonic foraminifera to seasonal and interannual hydrographic changes: Sediment trap record from the northern South China Sea,Hui-Ling Lin,"Hui-Ling Lin, Hon-Kit Lui, Tai-Chun Lin, You-Lin Wang",Frontiers Media SA,Front. Earth Sci.,2022,2022-8-29,"Foraminifera play an important role in the organic and inorganic carbon pumps of the ocean. Understanding their responses in seasonal and interannual time scales to the climate and seawater chemistry changes is important for studying carbon cycles and paleoclimatology. This study examined about 5.1-year continuous mass fluxes in 2013/9-2019/8 and 1.8-year planktonic foraminiferal shell fluxes in 2016/8-2019/8 census from ten and four sets of sediment traps, respectively, moored at the South East Asia Time-series Study (SEATS) site in the northern South China Sea (SCS), the world’s largest marginal sea. A total of four sets of sediment trap mooring with 11 common species were identified, spanning from August 2016 to August 2019 with 8-day and 16-day collecting periods, which provided access to evaluate the impact of the prevailing monsoon system and interannual climatic conditions. Our results show that the winter monsoon enhances the nutrient inventories in the euphotic zone, supporting the productivity and the mass and shell fluxes. In addition to seasonal cycles, the variation of chlorophyll-a concentration in the SCS shows a strong response to wind speed under the influence of El Niño–Southern Oscillation (ENSO). The reduction in wind speed and the intensification of Kuroshio intrusion during the ENSO warm phases reduces the productivity and mass and shell fluxes, and vice versa in the case of the ENSO cold phases. The imprint of an ENSO cold phase (La Niña event) in 2017 was signified by 2–3-fold higher values than the 3-year average of total mass and foraminiferal shell fluxes. Instead of the common dominance of Trilobatus sacculifer and Globigerinoides ruber among species composition, Neogloboquadrina dutertrei was the predominant species comprising over 40%–60% of total shells greater than 212 μm. Furthermore, the interval with an elevated abundance of N. dutertrei lasted throughout January 2018 (four collecting intervals). Foraminifera shell fluxes were the lowest during warm months (March-August) in 2019, which was coeval with the increase in proportions of Orbulina universa and Globigerinella calida. The unusual species composition might signify a weak ENSO warm phase (A weak El Niño event) between September 2018 and August 2019.",https://doi.org/10.3389/feart.2022.928115,中山大學,林慧玲,True,False,False,False,False,False,False,False,False,False,False,False
10.3390/jmse9101065,Shifts in the Assemblage of Summer Mesopelagic Fish Larvae in the Gaoping Waters of Southwestern Taiwan: A Comparison between El Niño Events and Regular Years,Hung-Yen Hsieh,"Hung-Yen Hsieh, Wen-Tseng Lo, Chien-Chun Liao, Pei-Jie Meng",MDPI AG,JMSE,2021,2021-9-28,"We investigated changes in the assemblages of summer mesopelagic fish larvae between El Niño events and regular years in 2014–2018 and evaluated their relationships with the hydrographic conditions of the Gaoping waters off southwestern Taiwan. Seventy-five taxa or morphotypes were identified, with five types of Benthosema pterotum (31.2%), Diaphus slender type (19.9%), Cyclothone alba (7.2%), Diaphus stubby type (5.9%), and Vinciguerria nimbaria (4.4%) being most common during the study period. The hydrographic conditions of the Gaoping waters were likely influenced by large-scale climate change via oceanic physical processes. Apparently higher seawater temperature, mixed layer depth, and lower salinity in the upper 100 m were observed at the end of the strong El Niño events (summer 2016). In addition, the certain dominant taxa exhibited contrasting patterns between El Niño events and regular years. In this study, although the abundance and composition of mesopelagic fish larvae assemblage were not influenced directly by changes in large-scale climatic conditions, the occurrence of mesopelagic fish larvae was related to seawater temperature, salinity, and chlorophyll a concentration. We speculated that despite the abundant food availability and the more mesopelagic fish larvae onto the Gaoping waters transported by the increased inflow of the South China Sea Surface Current during El Niño events, the higher temperature and lower salinity at the inshore upper waters might be unsuitable for mesopelagic fish larvae, possibly resulting in low egg and larval survival.",https://doi.org/10.3390/jmse9101065,國立東華大學,謝泓諺,False,False,True,False,False,False,False,False,False,False,False,False
10.1016/j.marpolbul.2021.113118,Revisiting of persistent organic pollution occurrence and distribution in the surface sediment along western Taiwan coast,Jing-O Cheng,"Jing-O Cheng, Po-Hsuan Tseng, Pei-Hsin Chou, Chi-Ying Hsieh, Fung-Chi Ko",Elsevier BV,Marine Pollution Bulletin,2021,2021-12,,https://doi.org/10.1016/j.marpolbul.2021.113118,國立海洋生物博物館,柯風溪,False,False,False,False,False,False,False,False,False,False,False,True
10.1016/j.margeo.2020.106121,"Biogeochemistry and dynamics of particulate organic matter in a shallow-water hydrothermal field (Kueishantao Islet, NE Taiwan)",Yu-Shih Lin,"Yu-Shih Lin, Jay Lee, Li-Hung Lin, Ke-Hsien Fu, Chen-Tung Arthur Chen, Yu-Huai Wang, I-Huan Lee",Elsevier BV,Marine Geology,2020,2020-4,,https://doi.org/10.1016/j.margeo.2020.106121,中山大學海科系,李逸環,False,False,False,False,False,False,False,True,False,False,False,False
